LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item
Normal,재훈,"줄곧 운이 없었다. 아버지는 밖에서 쌓인 화를 나와 어머니께 풀었다. 세게 맞고 난 날엔 일부러 긴 옷을 입고 나와 멍자국을 감췄지만, 동갑내기 아이들의 호기심에 결국 진실은 드러나 버렸고, 나는 금새 만만한 아이가 되어 괴롭힘을 당했다.",Sad_BGM,,FALSE,
Normal,재훈,그 날도 여김없이 운이 없었고 나는 가지고 있던 것들을 전부 빼앗긴 채 공사장에 고립되어 있었다.,,,FALSE,
Narration,,"(암전된 밀실, 10살 남짓의 어린 아이인 재훈은 오래된 컨테이너 박스의 문을 걸어 잠근 채 홀로 웅크려 앉아있다.)",,,TRUE,
Normal,재훈,끝나지 않는 일상에 저항할 의지가 생기지도 남아있지도 않았다. 바뀌지 않는 거라면 차라리 끝내버리고 싶었다. 살아갈 여지가 없었다.,,,FALSE,
Normal,재훈,그렇게 암실에 스스로를 가둔지 하루가 지났을 무렵 누군가가 나를 찾아냈다.,,,FALSE,
Normal,한성,거기 누구 있어요? 있죠?,,,FALSE,
Normal,한성,형사님 여기예요! 여기서 숨소리 들려요!,,,FALSE,
Normal,형사,오냐 알겠다.,,Door_Break_SFX,FALSE,
Narration,,"(재훈이 잠가놓았던 문이 밖에서 열린다. 강렬한 태양 빛이 드리워지는 사이로 커다란 어른과 재훈의 또래 정도의 아이가 보인다.)",,Light_Flash_SFX,TRUE,
Normal,형사,이거... 들개가 아니라... 사람이구만.,,,FALSE,
Normal,재훈,아이는 나를 빤히 바라보다 자신의 가방을 열고서 응급처치를 시작했다. 어른은 무전기로 누군가와 한참 동안 연락하는 듯 했다.,,FirstAid_SFX,FALSE,
Normal,형사,"야밤에 시커멓게 돌아 다니던거, 개가 아니라 애였습니다. 한 열살 짜리 애. 책임을 질 거냐고요? 걱정도 많으십니다. 끊습니다.",,,FALSE,
Normal,재훈,연락을 끝낸 그는 내게 당분간 자신과 함께 지내자고 말했다. 나는 그들의 집으로 가 정말로 맞지 않고 지냈다. 모두 형사였던 그 덕분이었다.,,,FALSE,
Narration,,[10년 후 - 적막이 끊기지 않는 분주한 사무실 몰아치는 천둥과 빗소리가 들려온다.],Rain_Thunder_BGM,,TRUE,
Normal,과장,어이 차대리. 일어나. 일어나라고. 참나 근무 시간에 엎드려서 잠을 자?,,Desk_Slam_SFX,FALSE,
Normal,재훈,아... 죄송합니다.,,,FALSE,
Normal,과장,"죄송만으로는 안되지. 무단 결근에 업무 태만에, 회사가 장난이야? 야근이라도 해서 밀린 일 전부 끝내놓고 퇴근해!",,,FALSE,
Normal,재훈,(...친구 한성이의 부고 문자가 와있다. 이제 어떻게 해야 할까?),,,FALSE,Phone_Message
