LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,InvestigationId,Background,Standing,Talker,IsSavePoint,SavePointId,Props
Normal,재훈,줄곧 운이 없었다.,reminiscence1-1,,FALSE,,,,,,,none,none,none,,,
Normal,재훈,아버지는 밖에서 쌓인 화를 어머니와 내게 쏟아냈다.,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,학교에 갈 때면 멍 자국과 상처를 가리고 아무 일도 없었다는 듯 태연하게 굴었다. ,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,"상처들이 드러나자, 나는 순식간에 때려도 되는 애가 되어 곱절로 맞았다.",reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,"그날도 어김없이 운이 없었고, 가지고 있던 것들을 전부 빼앗긴 채 모르는 곳에 던져진 차였다.",reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,"끝나지 않는 일상에 저항할 의지가 생기지도, 남아있지도 않았다.",reminiscence1-1,WalkingInTheForest_SFX,FALSE,,,,,,,,,none,,,
Normal,재훈,바뀌지 않는 거라면 차라리 끝내버리고 싶었다.,reminiscence1-1,WalkingInTheForest_SFX,FALSE,,,,,,,,,none,,,
Normal,재훈,살아갈 여지가 없었다.,reminiscence1-1,WalkingInTheForest_SFX,FALSE,,,,,,,,,none,,,
Normal,재훈,"어둠 속에 자신을 가둔 지 하루가 지났을 무렵, \n누군가의 목소리가 들려왔다.",reminiscence1-1,WalkingInTheForest_SFX,FALSE,,,,,,,,,none,,,
Normal,한성,거기 누구 있어요?,reminiscence1-1,Door1_SFX,FALSE,,,,,,,,,none,,,
Normal,한성,....있죠?,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,....,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,한성,형사님 여기예요! \n여기서 숨소리 들려요!,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,"오냐, 알겠다.",reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,들개가 아니라…\n사람이구먼.,reminiscence1-1,Door2_SFX,FALSE,,,,,,,,,none,,,
Normal,재훈,아이는 나를 빤히 바라보다 자신의 가방을 열고서 응급처치를 시작했다. \n문밖의 이는 무전기로 누군가와 한참 동안 이야기하는 듯했다.,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,"야밤에 시커멓게 돌아다니던 거, 애였습니다. \n한 열 살짜리 애. 멍도 온몸에 시퍼렇게 든 것 같은데. ",reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,...아 원래 그렇게 다니는 애라고요? \n누구한테 그렇게 맞은 겁니까?,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,...아니 상황 다 아시면서 이 지경이 될 때까지 아무것도 안 하시면 어떡합니까. \n발견 못 했으면 큰일 날 뻔했슴다.,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,...집으로 돌려보내자고요? \n참나…. ,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,애 집 주소나 주십쇼. ,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,"아.... 좀, \n쓸데없는 참견 마시고. ",reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,댁들과는 다르게 제가 직접 해결 보면 되는 거잖습니까. ,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,형사,…책임질 수 있냐고요? \n걱정도 참 많으십니다.,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,무전을 끈 그는 내게 당분간 자신과 함께 지내자고 제안했다. ,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,....,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,나는 그들의 집으로 가 맞지 않고 지냈다. ,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,"어딜 가든, 더 이상 나를 만만하게 보는 사람도 없었다. ",reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,재훈,모두 형사였던 그 덕분이었다.,reminiscence1-1,,FALSE,,,,,,,,,none,,,
Normal,한성,어른이 되어야 한다면 형사님 같은 사람이 되고 싶어.,reminiscence1-2,,FALSE,,,,,,,BG_Past01_Home,STD_Past01_Hansung_Default_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,경찰이 되고 싶은 거야?,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_Default_OpenMouse,none,,,
Normal,한성,...그냥 직업이 경찰이어선 안돼. \n「정의의 용사」가 되어야 해.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,「정의의 용사」가 뭔데?,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_Default_OpenMouse,none,,,
Normal,한성,"…형사님은 누군가의 정의를 지키는 게 결국 자신의 정의를 지키는 거니까, \n힘과 의지가 닿는 한 포기하지 말아야 한다고 말해주셨어.",reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,한성,"현실을 외면하지 않고, 진실은 밝혀내고, 빼앗긴 일상을 돌려주는 용사, \n많은 걸 내어주는 한이 있더라도 그런 일을 계속 해내는 사람.",reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_CloseEyes_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,한성,결국 그렇게 스스로를 지켜낸 사람이 「정의의 용사」가 아닐까.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_CloseEyes_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,그럼 넌 「정의의 용사」가 되려고 형사님 따라다니는 거야?,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_Default_OpenMouse,none,,,
Normal,한성,응!,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default_OpenMouse|STD_Past01_Jaehoon_Default,none,,,
Normal,재훈,형사님 피곤하시겠네.,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Default|STD_Past01_Jaehoon_CloseEyes_OpenMouse,none,,,
Normal,한성,…\n야...!,reminiscence1-2,,FALSE,,,,,,,,STD_Past01_Hansung_Angry_OpenMouse|STD_Past01_Jaehoon_CloseEyes,none,,,
