LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,MinigameLabel,MinigameTimeLimit,MinigameBoxCount,MinigameCorrectIndex,InvestigationId,Background,Standing,Talker,IsSavePoint,SavePointId,DeductionId,Props
Normal,한성의 지인,얼마 안 지난 일이야. 그쪽 동네 사람들 분위기 뒤숭숭할 거야. \n절대로 소란 일으키지 마. ,Rain_Ocean_BGM,,FALSE,,,,,,,,,,,none,none,none,,,,
Normal,한성의 지인,"그리고 네 생각대로 한성이가 누군가한테 당한 거면, 범죄 현장에서 흘깃대는 녀석을 가만두겠냐?",Rain_Ocean_BGM,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,…조심할게요.,Rain_Ocean_BGM,,FALSE,,,,,,,,,,,,,none,,,,
Investigate,,,Investigation,,,,,,,,,,,,BG_02_CoastalRoad,,,none,TRUE,#02 해안도로,,
Normal,한성,"예전에… 선생님하고만 살 땐 말이지, \n엄청 외로웠거든. ",reminiscence1-2,,FALSE,,,,,,,,,,,none,none,none,,,,
Normal,한성,그리고 불안했어. \n혹시나 선생님께 무슨 일이 생긴다면 나는 금방 무너져 버릴 것만 같아서. ,reminiscence1-2,,FALSE,,,,,,,,,,,,,none,,,,
Normal,한성,근데 지금은 그때 기분이 기억도 안 나. \n아마도 네가 계속 옆에 있어 준 덕인 것 같아.,reminiscence1-2,,FALSE,,,,,,,,,,,BG_Past02_Bus_01,STD_Past02_Hansung_Kind,none,,,,
Normal,재훈,넌 성격이 좋으니까 누가와도 사이좋게 잘 지낼 거라고 생각했는데.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Smile,none,,,,
Normal,한성,"…다른 사람들 사이에 있는 건 뭔가…쓸쓸한걸. \n언제나 겉돌았어, 지금도 그래.",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Depressed,none,,,,
Normal,한성, 다들 엉뚱한 걸 믿고 무작정 달려 나가는 것만 같이 보여. \n내 생각도 다른 사람들 눈엔 답답하게만 보일 것 같고. ,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Depressed,none,,,,
Normal,한성,그렇지만 네 옆에선 뭐랄까…자유로워. \n내가 나로서 존재하고 있다는 감각이 느껴져.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Touching,none,,,,
Normal,한성,영혼이 통한달까.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Touching,none,,,,
Normal,재훈,…그렇게까지 나를 감명 깊이 생각해 주다니.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Smile,none,,,,
Normal,한성,감동이지?,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Kind,none,,,,
Normal,재훈,글쎄다.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Smile,none,,,,
Normal,한성,시치미 떼기는…. ,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Touching,none,,,,
Normal,한성,"...아무튼 말이야, 갑자기 네가 떠난다면 나는 견딜 수 있을까. 라는 생각이 들었어.",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Worried,none,,,,
Normal,한성,"어른이 되면 버거운 것들이 더 많아질 텐데, 혼자서 감당할 수 있을까….",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Worried,none,,,,
Normal,재훈,…새로운 사람이 나타날 수도 있잖아. 이 세상에 나만 있는 것도 아니고.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Thinking,none,,,,
Normal,한성,…하지만 널 누가 대신해 줄 수 있겠어.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Depressed,none,,,,
Normal,재훈,"성격도 안 좋고 말투도 험한데, 누구든 나보다 나을걸. ",reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Thinking,none,,,,
Normal,재훈,형사님도 계시잖아.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Thinking,none,,,,
Normal,한성,형사님이 언제까지고 버팀목이 되어주실 순 없는 거잖아.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Depressed,none,,,,
Normal,재훈,….\n 어디 안 가니까 안심해라.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Default,none,,,,
Normal,재훈,너랑 형사님 옆 아니면 내가 어디서 사냐.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Default,none,,,,
Normal,한성,정말?,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Worried,none,,,,
Normal,재훈,그래.,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Default,none,,,,
Normal,한성,그치만 너….,reminiscence1-2,,FALSE,,,,,,,,,,,,STD_Past02_Hansung_Worried,none,,,,
Normal,재훈,나는 말을 끊고 곧바로 화제를 돌렸다. \n이어질 말이 무엇인지 이미 알고 있었다.,,,TRUE,,,,,,,,,,,none,none,none,,,,
Normal,재훈,"자기 부모를 알 수 없는 떠돌이 아이였던 한성이와 달리, 나는 아직도 누군가의 아들이었다.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,"그 당시, 오랜만에 만난 어머니는 애처로워 보이는 모습으로 병상에 누워계셨고, 내게 집으로 돌아와 「아들 노릇」을 하라고 부탁하셨다.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,...나는 들어드릴 생각이 없었기에 죄송하다는 말만을 남긴 채 발걸음을 옮겼다. ,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,아버지가 내게 천륜을 져버린 상놈의 자식이라 욕하던 건 오히려 재밌었다. \n그러나…. ,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,어머니가 실망한 눈빛으로 나를 쳐다보시던 건 도저히 잊혀지지가 않았다.,,,TRUE,,,,,,,,,,,BG_Past02_Mom,none,none,,,,
Narration,,,,,TRUE,,,,,,,,,,,BG_Past02_Bus_02,,none,,,,
Normal,재훈,"사건 접수가 안 된다니, 이게 증거라니까요?",,,FALSE,,,,,,,,,,,none,,none,,,,
Normal,경찰,곤란합니다.,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,무슨….,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,경찰,"저도 선배님의 부고가 슬프고 억울해 심정은 이해합니다만…. \n지금 여기서 이러셔봤자, 달라지는 것도 없고, 소란만 키울 뿐입니다.",,,FALSE,,,,,,,,,,,,,none,,,,
Normal,재훈,….,,,FALSE,,,,,,,,,,,,,none,,,,
Normal,경찰,"답답해서 뭐라도 알아내고 싶으신 거죠? \n일단 친구분이 오셨다고 전해 두고, 짐은 전부 가져가실 수 있게 처리하겠습니다. ",,,FALSE,,,,,,,,,,,,,none,,,,
