LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,MinigameLabel,Background,Standing,Talker,IsSavePoint,SavePointId,InvestigationId,NoteRealtime,MinigameTimeLimit,MinigameTimerStopId,Props
Normal,재훈,넌 이제 어떡할래. 갈 데도 없을 거 아니야.,,,FALSE,,,,,,,BG_06_Room,STD_040506_Child_DefaultStand_Default,none,,,,,,,
Normal,아이,아저씨는 어디로 가세요?,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,,,,
Normal,재훈,수사하러.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,,,,
Normal,아이,아저씨도 경찰이에요?,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,,,,
Normal,재훈,그런 셈으로 치자.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,,,,
Normal,아이,...따라가면 안 돼요?,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,,,,
Normal,재훈,안돼. 네가 올 곳이 아니야.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,,,,
Normal,아이,그러면 여기서 기다릴래요.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,,,,
Normal,재훈,...할아버지 간병이 쉽지가 않을 텐데.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,,,,
Normal,아이,누워만 있는 아빠 병수발도 했는데요.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default_OpenMouse,none,,,,,,,
Normal,재훈,나중에 혼자서라도 구청이나 주민센터로 가. \n누구라도 도와주실 거야.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Default,none,,,,,,,
Normal,아이,돌아오셔야 해요.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Sorry_OpenMouse,none,,,,,,,
Normal,재훈,……알겠어.,,,FALSE,,,,,,,,STD_040506_Child_DefaultStand_Sorry,none,,,,,,,
Normal,재훈,...사직서 수리하셨습니까?,,,TRUE,,,,,,,BG_01_Office,STD_0107_Conductor_Angry1,none,,,,,,,
Normal,차장,나도 자네 얼굴 보기 싫어서 그러려고 했네. \n근데…. 윗선에서 반려됐어.,,,FALSE,,,,,,,,STD_0107_Conductor_Angry2,none,,,,,,,
Normal,재훈,그렇군요.,,,FALSE,,,,,,,,STD_0107_Conductor_Angry1,none,,,,,,,
Normal,차장,대체 얼마나 설설 기었으면 사장님께서 내보내지 말라고 하시는지... 일도 안 하는데....,,,FALSE,,,,,,,,STD_0107_Conductor_Angry2,none,,,,,,,
Normal,재훈,"...아무튼, 수리 안 하셨다면 됐습니다. \n저 일합니다.",,,FALSE,,,,,,,,STD_0107_Conductor_Angry1,none,,,,,,,
Normal,차장,어휴....,,,FALSE,,,,,,,,STD_0107_Conductor_Angry2,none,,,,,,,
Narration,,,Investigation,,TRUE,,,,,,,none,none,none,TRUE,#07 회사 조사,,off,,,
Minigame,,,Investigation,,,,,,,Bad_D,자료실 열쇠를 찾아 몰래 조사를 시작하라 (타임어택),,,none,,,,,300,#07 사장실,
Investigate,,,Investigation,,,,,,,,,,,none,,,BG_07_InvestigationSite_01,,,,
Narration,,자료실 조사 (진입 + 조사 미니게임),Investigation,,TRUE,,,,,,,BG_07_InvestigationSite_03,,none,TRUE,#07 자료실,,,,,
Minigame,,,Investigation,,,,,,,Bad_D,자료실에 들키지 않고 진입하라,,,none,,,,,,,
Investigate,,,Investigation,,,,,,,,,,,none,,,BG_07_InvestigationSite_03,,,,
Minigame,,,Investigation,,,,,,,Bad_D,자료실에서 필요한 자료를 빠르게 찾아라,BG_07_InvestigationSite_06,,none,,,,,,,OBJ_07_CEORoomDoor
Investigate,,,Investigation,,,,,,,,,,,none,,,BG_07_InvestigationSite_06,,,,
Narration,,"[자료실에서 찾은 자료들] 공공기관 건설 계약을 앞두고 있다는 정보(산재가 드러날 시, 계약이 취소될 수 있다.), 사고 현장의 안전 수칙 미준수 및 설비 미흡이 드러나는 형편없는 계획서와 실제 공사 자금 사용 장부, 가격 절감을 위해 숙련되지 않은 인력을 사용한 정황(회의 기록), 이번 달 회의 기록이 사장실로 옮겨졌다는 메모.",Investigation,,FALSE,공사 계획서/장부,,,,,,BG_07_InvestigationSite_06,,none,,,,,,,OBJ_07_CEORoomDoor
Narration,,사장실 조사 (제시간 안에 진입해 금고를 열어야 한다),Investigation,,TRUE,,,,,,,BG_07_InvestigationSite_06,,none,TRUE,#07 사장실,,,,,OBJ_07_CEORoomDoor
Minigame,,,Investigation,,,,,,,Bad_D,제시간 안에 사장실에 진입하라,,,none,,,,,,,
Investigate,,,Investigation,,,,,,,,,,,none,,,BG_07_InvestigationSite_06,,,,
Minigame,,,Investigation,,,,,,,Bad_D,금고 비밀번호를 입력해 열어라,BG_07_InvestigationSite_07,,none,,,,,,,OBJ_07_Trophy|OBJ_07_Curtain|OBJ_07_CEODesk|OBJ_07_BookCase|OBJ_07_Sofa
Investigate,,,Investigation,,,,,,,,,,,none,,,BG_07_InvestigationSite_07,,,,
Normal,재훈,비밀번호....,,,FALSE,,,,,,,BG_07_InvestigationSite_07,,none,,,,,,,
Normal,재훈,"아버지는 어느 날 이렇게 말씀하셨다. 힘을 가진 자는 신과 같다고. 사람의 마음은 휘청거리고 연약하기 짝이 없어서, 언젠가는 권력에 복종하게 되어있다고. 그러니 돈과 명예, 주먹의 세기는 신의 능력이라고.",,,FALSE,,,,,,,BG_07_InvestigationSite_07,none,none,,,,,,,none
Normal,재훈,"특히, 처음으로 그 능력을 사용했던 날을 잊지 못한다고 말했다. ...나는 분명 그날을 알고 있다.",,,FALSE,,,,,,,,,none,,,,,,,
Narration,,재훈은 아버지에게 배운 비밀번호로 금고를 연다. 회의 기록이 담긴 파일이 들어있다.,,,FALSE,,,,,,,,,none,,,,,,,
Narration,,[금고에서 발견한 회의 기록 파일] 아이 아버지의 투병 사진 / 사고 당시 사진 / 공공기관에서 의뢰받은 건설 계약을 진행하기 위해 산재 사실을 덮기로 한 회의 기록,,,FALSE,금고 회의 기록,,,,,,,,none,,,,,,,
Narration,,/ (외부인(청부업자 혹은 흥신소)으로부터 받은) 유한성 형사가 산재 사고의 배후를 추적하고 있다는 보고서 / 차장에게 유한성 형사에 대한 입막음을 지시한 회의 기록,,,FALSE,,,,,,,,,none,,,,,,,
Narration,,"/ 차장이 조폭을 고용해 일을 처리하다가 형사가 결국 자살했고, 해당 사실을 감추기 위해 공권력을 매수한 증거(입금내역)",,,FALSE,,,,,,,,,none,,,,,,,
Narration,,금고의 자료를 되돌려 놓은 재훈은...,,,TRUE,,,,,,,BG_07_InvestigationSite_08,none,none,,,,on,,,OBJ_07_Receipt|OBJ_07_Pictures|OBJ_07_File|OBJ_07_File2
Choice,,,,,,,차장에게 복수한다.,,TRUE,Bad_B,,,,none,,,,,,,
Choice,,,,,,,사장에게 복수한다.,,TRUE,Bad_A,,,,none,,,,,,,
Choice,,,,,,,아무것도 하지 않는다.,,TRUE,Bad_D,,,,none,,,,,,,
