LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,Background,Standing,Props
Narration,,#2. 배드엔딩A,,,FALSE,,,,,,BG_07_InvestigationSite_08,none,OBJ_07_Receipt|OBJ_07_Pictures|OBJ_07_File|OBJ_07_File2
Narration,,재훈은 품 속에 칼을 숨기고 소파에 그대로 앉아서 사장을 기다린다.,,,TRUE,,,,,,BG_07_InvestigationSite_07,,
Narration,,"시간이 흐르자, 사장이 방 안으로 들어온다. 사장은 재훈을 보며 놀란 표정을 지었다가 이내 책상 의자에 다가가 앉으며 말한다.",,,FALSE,,,,,,,,
Normal,사장,"차대리, 사직서 냈었다며?",,,FALSE,,,,,,,,
Normal,재훈,네.,,,FALSE,,,,,,,,
Normal,사장,"사춘기가 이 나이에도 온 건지 뭔지,,, 그보다 무슨 일이야. 일 아니면 잘 찾아오지도 않는 녀석이.",,,FALSE,,,,,,,,
Normal,재훈,...표정 피셨네요.,,,FALSE,,,,,,,,
Normal,사장,"벌레 새끼 하나가 있었는데, 가둬놓기만 하려고 했더니 잡혀버렸거든. 윙윙거리질 않으니, 마음이 편하고 아주 좋아.",,,FALSE,,,,,,,,
Normal,재훈,...아버지.,,,FALSE,,,,,,,,
Normal,사장,그래.,,,FALSE,,,,,,,,
Normal,재훈,어머니는 참지 말아야 하는 것도 참으며 사셨죠. 아버지한테 우리는 망가뜨리면 재밌는 소리를 내는 인형이었어요.,,,FALSE,,,,,,,,
Narration,,사장은 재훈의 말에 당황스러워한다.,,,FALSE,,,,,,,,
Normal,재훈,"저도 어머니를 닮아서, 그 시절의 일을 추궁하기보단 납득하려고 했어요. 근데 지금 알게 됐어요. 아버지는 바뀌지 않았고, 더 사악해지셨고, 저는 화를 멈출 수 없다는걸.",,,FALSE,,,,,,,,
Normal,사장,......,,,FALSE,,,,,,,,
Narration,,재훈은 칼을 꺼내 사장을 찌른다. 사장은 소리를 지르다 피를 토하고 쓰러진다.,,,TRUE,,,,,,,,
Normal,재훈,드디어 인생의 골칫거리가 사라졌다.,,,FALSE,,,,,,,,
Narration,,"다음날, 한성의 집에 경찰들이 들이닥친다. 재훈과 이야기를 나눴었던 경찰이 재훈의 사진을 보여주며 말한다.",,,FALSE,,,,,,BG_04_Home,,
Normal,경찰,이렇게 생긴 사람 본 적 있니?,,,FALSE,,,,,,,,
Normal,아이,네.,,,FALSE,,,,,,,,
Normal,경찰,언제 마지막으로 봤어?,,,FALSE,,,,,,,,
Normal,아이,어제 아침에…. 수사하러 가시겠다고 했어요.,,,FALSE,,,,,,,,
Normal,경찰,......,,,FALSE,,,,,,,,
Normal,아이,제가 꼭 돌아오시라고 했어요. 곧 오실 거예요.,,,FALSE,,,,,,,,
Narration,,경찰은 머뭇거리다가 입을 연다.,,,FALSE,,,,,,,,
Normal,경찰,"…. 돌아오시지 않을 거야. 이분은 형사도, 탐정도 아니고…. 살인범이니까.",,,TRUE,,,,,,,,
Narration,,[END],,,FALSE,,,,,,,,
Choice,,,,,,,[END],,TRUE,Bad_A,,,
