LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,Background,Standing,Props
Narration,,#3. 배드엔딩B,,,FALSE,,,,,,BG_07_InvestigationSite_08,none,OBJ_07_Receipt|OBJ_07_Pictures|OBJ_07_File|OBJ_07_File2
Narration,,재훈은 회사 문 밖에서 차장을 기다린다.,,,TRUE,,,,,,BG_01_Office,,
Normal,재훈,차장님 퇴근하시네요.,,,FALSE,,,,,,,,
Normal,차장,...자네 오늘 할 일은 다 한 거지?,,,FALSE,,,,,,,,
Normal,재훈,아유 참 그럼요.,,,FALSE,,,,,,,,
Normal,차장,어젠 어디서 뺀질거리다 온 거야?,,,FALSE,,,,,,,,
Normal,재훈,그럴만한 일이 있었습니다. ...친구가 죽었거든요.,,,FALSE,,,,,,,,
Normal,차장,부고장인가….,,,FALSE,,,,,,,,
Normal,재훈,"받은 지는 꽤 됐습니다. ...그 친구가 석연찮게 죽어서, 주제넘게 이것저것 알아봤는데, 재밌는 게 있더라고요. 들어보실래요?",,,FALSE,,,,,,,,
Normal,차장,"…아니네, 요즘 뒤숭숭해서...",,,FALSE,,,,,,,,
Normal,재훈,그렇군요. 그러면 이분들한테 얘기 들으시면 되겠네요.,,,FALSE,,,,,,,,
Narration,,차장이 매수했던 조폭들이 나타난다.,,,FALSE,,,,,,,,
Normal,조폭1,보수.,,,FALSE,,,,,,,,
Narration,,재훈은 큰 돈다발을 조폭에게 건네준다. 차장은 당황한 표정을 짓는다.,,,FALSE,,,,,,,,
Normal,조폭1,알아서 하면 되는 거죠?,,,FALSE,,,,,,,,
Normal,재훈,네.,,,FALSE,,,,,,,,
Normal,조폭1,"무지 쪼아서 마침 짜증 났는데, 감사합니다. 도련님~",,,FALSE,,,,,,,,
Normal,재훈,"시간은 흘렀다. 아이는 보육원에서 가끔 근황을 전해왔으며, 나는 회사의 새로운 사장이 되었다.",,,FALSE,,,,,,none,,
Normal,재훈,"차장의 행방은 묘연해졌으나, 누구도 수사하지 못했다. 차장과 친하거나 편을 들던 사람들은 회사에서 전부 해고되었다.",,,FALSE,,,,,,,,
Normal,재훈,돈은 정말로 신의 능력이었다. 아버지의 말처럼.,,,FALSE,,,,,,,,
Normal,재훈,"... ... 어느 날, 아주 어렸을 적의 감각이 올라오기 시작했다. 멍하고, 불안하고, 위태롭고, 실소해 버리고 마는 권력의 압도감. 머릿속이 비참해지는 것을 그 무엇으로도 막을 수 없었다.",,,FALSE,,,,,,,,
Normal,재훈,"......... 눈이 오는 날, 산속을 헤매며 친구가 와주길 기도했다. 간절히 간절히 바라니 어느새 그 아이가 내 눈앞에 보였다.",,,TRUE,,,,,,,,
Narration,,[END],,,FALSE,,,,,,,,
Choice,,,,,,,[END],,TRUE,Bad_B,,,
