LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,Background,Standing,Props
Narration,,#4. 배드엔딩C,,,FALSE,,,,,,BG_02_CoastalRoad,none,
Normal,재훈,"조폭들이 나를 찾는다는 소리가 들려왔다. 나는 곧바로 회사 밖으로 빠져나와 달렸다. 계속 도망치고 도망치다 보니, 돈도 점점 떨어져 가 버티기 힘들었다.",,,FALSE,,,,,,,,
Normal,재훈,... 나는 한성이가 죽었던 곳을 찾았다. 저 멀리서 조폭 여럿이 내게 달려오고 있었다.,,,TRUE,,,,,,,,
Normal,한성,"오랜만이네, 차재훈.",,,FALSE,,,,,,,,
Normal,재훈,...,,,FALSE,,,,,,,,
Normal,재훈,한성이가 내 눈앞에 보였다.,,,FALSE,,,,,,,,
Normal,한성,"너도, 나도, 칠칠맞지 못했나 봐. 이렇게 다 들켜버리고 마는 걸 보면.",,,FALSE,,,,,,,,
Normal,재훈,그러게.,,,FALSE,,,,,,,,
Normal,한성,...이번에도 후회해? 나를 쫓아온걸.,,,FALSE,,,,,,,,
Normal,재훈,"좀 더 잘했으면 어땠을까, 눈치가 빨랐으면 어땠을까…. 싶긴 하네.",,,FALSE,,,,,,,,
Normal,한성,......지나간 건 지나간 거니까 흘려보내. 여긴 바다잖아. 사소한 실수나 죄 따위는 금방 쓸려져 사라질 거야.,,,FALSE,,,,,,,,
Normal,재훈,그러네.,,,FALSE,,,,,,,,
Normal,한성,가자. 지금 가야 같이 있을 수 있어. 이번에는 같이 있어 줄 거지.,,,FALSE,,,,,,,,
Normal,재훈,...당연하지.,,,FALSE,,,,,,,,
Narration,,한성의 손을 잡은 재훈은 그와 함께 바다에 빠진다.,,,TRUE,,,,,,,,
Narration,,[END],,,FALSE,,,,,,,,
Choice,,,,,,,[END],,TRUE,Bad_C,,,
