LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,Background,Standing,Props
Narration,,#5. 배드엔딩D,,,FALSE,,,,,,BG_01_MyDesk,none,
Normal,재훈,시간은 흘러갔다. 내겐 이 모든 걸 감당할 용기가 없었다.,,,FALSE,,,,,,,,
Normal,재훈,나는 다른 생각을 할 틈도 없이 일만 했다. 잡념이 생기면 계속 일을 했다. 일로도 잊히지 않으면 공부했다. 공부가 안되는 날엔 가혹하게 운동을 했다.,,,FALSE,,,,,,,,
Normal,재훈,그렇게 그 모든 것을 서서히 망각해 갔다. 나의 의지로.,,,FALSE,,,,,,,,
Narration,,"뉴스 화면, 긴급 속보가 띄워지며 아나운서가 급박하게 브리핑한다.",,,TRUE,,,,,,none,,
Normal,아나운서,속보입니다. 한 대형 체육시설이 무너져 현재 수색 작업 중에 있습니다. 사망자는 100여 명으로 추정되는 것으로 전해오고 있는데요.,,,FALSE,,,,,,,,
Normal,아나운서,"이 체육시설은 시청이 A 건설사에 맡겨 추진했던 사업으로, 해당 건설사의 자금 횡령과 부실시공 이력이 밝혀져 현재 관련자들을 긴급 체포 중이며 압수수색을 진행하고 있고....",,,FALSE,,,,,,,,
Normal,재훈,"우리는 제 발에 걸려 넘어졌고, 사실을 은폐한 직원 전부가 징역형을 받았다. 나 또한 그중 하나였다.",,,FALSE,,,,,,,,
Narration,,나이가 든 재훈은 2020년대의 서울 길거리를 걷는다.,,,FALSE,,,,,,,,
Normal,재훈,"구치소를 나오니 세상은 급격하게 변해 있었으며, 한성이의 집이 있던 곳엔 세련된 빌딩이 지어져 있었다. 그 어디에도 우리가 존재하지 않는 것만 같이 느껴졌다.",,,FALSE,,,,,,,,
Normal,재훈,"... 나는 길거리를 걸으며 방황하고, 날을 지새웠다. 스스로가 역겹게 느껴졌다.",,,FALSE,,,,,,,,
Narration,,재훈은 스스로 목숨을 끊는다. (목숨을 끊는 듯한 암시를 하는 효과음),,,TRUE,,,,,,,,
Narration,,[END],,,FALSE,,,,,,,,
Choice,,,,,,,[END],,TRUE,Bad_D,,,
