LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,Background,Standing,Props
Narration,,#6. 배드엔딩E,,,FALSE,,,,,,BG_01_MyDesk,none,
Normal,재훈,나는 갈 곳 없는 아이를 보육원에 맡긴 뒤 회사로 출근했다. 사무실은 언제나처럼 정신없고 분주했다.,,,FALSE,,,,,,,,
Normal,재훈,나는 그들의 마지막 동아줄을 봉인하고 절망을 퍼뜨렸다.,,,FALSE,,,,,,,,
Narration,,재훈은 자신의 캐비닛에 소화기를 집어넣고 잠근다.,,,TRUE,,,,,,,,
Narration,,"시간이 흘러, 건물 내부에 화재 경보 사이렌이 울리고, 스무 명 남짓의 사람들은 단단히 잠겨진 문을 의미 없이 뒤흔들며 절규한다.",,,FALSE,,,,,,BG_01_Office,,
Normal,차장,대체 이게 무슨 일이야!,,,FALSE,,,,,,,,
Normal,사장,당장 이 문 열어!,,,FALSE,,,,,,,,
Narration,,몸에 불이 옮겨붙은 재훈은 고통에 몸서리치지 않고 잠겨진 사무실 문을 뒤흔드는 사람들을 보며 웃다 의식을 잃는다.,,,TRUE,,,,,,,,
Normal,재훈,다 쥐새끼처럼 빠져나갈 생각하지 말라고. 우린 벌을 받아야 해.,,,FALSE,,,,,,,,
Normal,재훈,... ... ...,,,FALSE,,,,,,,,
Normal,재훈,사후세계가 있다면 난 아마 너와는 다른 곳으로 가겠지. 어쩌면 너와 처음부터 만나지 말아야 했을지도 몰라. 그날 죽었어야 했어.,,,FALSE,,,,,,,,
Normal,재훈,난 애초부터 「정의의 용사」가 될 자격 따윈 없었으니까.,,,TRUE,,,,,,,,
Narration,,[END],,,FALSE,,,,,,,,
Choice,,,,,,,[END],,TRUE,Bad_E,,,
