LineType,Speaker,Sentence,BGM,SFX,IsFadeOut,Item,ChoiceText,NextScenario,IsEndingChoice,TargetEnding,Background,Standing,Props
Narration,,#1. 트루엔딩,,,FALSE,,,,,,BG_07_InvestigationSite_08,none,OBJ_07_Receipt|OBJ_07_Pictures|OBJ_07_File|OBJ_07_File2
Normal,재훈,"네가 내게 맡기고 간 일을 하는 거야. 너의 믿음이 헛되지 않도록, 네가 사라지지 않도록.",,,FALSE,,,,,,,,
Narration,,"재훈은 회사를 나와 한성의 집 앞에 도착한 후, 한성의 지인에게 전화를 건다. (페이드아웃 상태)",,,TRUE,,,,,,BG_04_Home,,
Normal,한성의 지인,너 저번에 대체 뭐야!,,,FALSE,,,,,,,,
Normal,재훈,별일 아니었어요.,,,FALSE,,,,,,,,
Normal,한성의 지인,"아무리 형사님이 오락가락하신다고 해도 말이다…. 자식 같은 녀석들 전부 저세상으로 가버리면 억장이 안 무너지시겠냐? 자식아, 생각을 좀….",,,FALSE,,,,,,,,
Narration,,재훈은 그의 말을 끊으며 말한다.,,,FALSE,,,,,,,,
Normal,재훈,부탁드릴 게 있어요.,,,FALSE,,,,,,,,
Normal,한성의 지인,뭔데.,,,FALSE,,,,,,,,
Normal,재훈,회사 내부 문서 좀 유출해 주세요. 익명으로.,,,FALSE,,,,,,,,
Normal,한성의 지인,너 내가 소원 들어주는 지니인 줄 알지.,,,FALSE,,,,,,,,
Normal,재훈,그러면 아니에요? 어지간한 일은 다 하시면서.,,,FALSE,,,,,,,,
Normal,한성의 지인,…무슨 목적이야.,,,FALSE,,,,,,,,
Normal,재훈,회사 망하게 하려고요.,,,FALSE,,,,,,,,
Normal,한성의 지인,왜.,,,FALSE,,,,,,,,
Normal,재훈,다니기 싫어서요.,,,FALSE,,,,,,,,
Normal,한성의 지인,농담하지 말고.,,,FALSE,,,,,,,,
Normal,재훈,…한성이랑 관련된 일이에요.,,,FALSE,,,,,,,,
Normal,한성의 지인,.......,,,FALSE,,,,,,,,
Normal,재훈,형님도 걔한테 마음으로 진 빚이 있잖아요. 한 번도 진심으로 걔가 하는 일 응원해 주기는커녕 비아냥거렸으니까. 장례식 대신 치러주신 것도 그게 미안해서 그러신 거잖아요.,,,FALSE,,,,,,,,
Normal,한성의 지인,.......,,,FALSE,,,,,,,,
Normal,재훈,해주실 거죠?,,,FALSE,,,,,,,,
Normal,재훈,"나는 회사를 고발했다. 회사는 고대하던 계약을 따내지 못하게 되었고, 영향력을 잃어갔다.",,,FALSE,,,,,,,,
Narration,,사장은 재훈을 사장실로 불러낸다.,,,FALSE,,,,,,BG_07_InvestigationSite_07,,
Normal,사장,"차재훈, 네가 해야 해.",,,FALSE,,,,,,,,
Normal,재훈,…그러니까 내부 고발한 사람이 누군지 저보고 알아내라는 거죠?,,,FALSE,,,,,,,,
Normal,사장,"그래. 원, 믿을 놈이 없어서. 어떤 망할 새끼가 이런 일을….",,,FALSE,,,,,,,,
Normal,재훈,알겠습니다. 제가 열심히 찾아볼게요. 아버지는 편히 쉬고 계세요. 요즘 잠도 잘 못 주무시잖아요.,,,FALSE,,,,,,,,
Normal,사장,"그래, 부탁한다.",,,FALSE,,,,,,,,
Normal,재훈,"나는 모두를 취조했지만, 범인은 그중에 없었다. 당연했다. 범인은 나였으니까.",,,FALSE,,,,,,,,
Normal,재훈,"사장은 마침내 모든 것을 공유했던 차장을 의심하기 시작했고, 그를 경찰에 신고했다. 차장은 체포되었고, 나는 사장이 방심할 때를 틈타 사장실에 있는 서류를 경찰에 제출했다. 차장의 자백과 제출된 증거는 아버지를 철창 안으로 들어가게 만들었다.",,,FALSE,,,,,,,,
Normal,재훈,"나는 회사를 그만두고, 형사님의 집에서 살기 시작했다.",,,FALSE,,,,,,BG_04_Home,,
Narration,,한성이 죽은 바닷가. 재훈은 동굴 안에 앉아서 지평선을 바라본다.,,,TRUE,,,,,,BG_02_CoastalRoad,,
Normal,재훈,"아버지가 네가 어떻게 나한테 이런 짓을 하냐면서, 나오면 두고 보자고 하시더라. 슬슬 몸도 제대로 못 가누는 인간이, 어불성설이지. 그냥…지금 너한테 몇 대 맞고 싶은 심정이야. 그렇게라도 하면 후회가 덜어질까 싶어서.",,,FALSE,,,,,,,,
Normal,재훈,"나 말이지, 집 나오고 아버지랑 살기 시작하면서 점점 우울해졌어. 분명 더 이상 걷어차이지도 않고 중요한 사람으로 여겨주는데 텅 빈 것 같은 기분을 느끼고, 역할극을 하는 것 같았어.",,,FALSE,,,,,,,,
Normal,재훈,"그러다가 다시 「정의의 용사」 타령을 하고, 열심히 형사 일을 하는 너를 보니까 이상하게 마음에 생기가 돌더라. 한심하고 미련해 보이고 짜증 났는데, 한편으로는 네가 부럽고, 반갑고, 그리웠어.",,,FALSE,,,,,,,,
Normal,재훈,"...결국 네 곁엔 있어 주지 못해서 미안. 내가 너와 형사님을 떠났던 건, 잘못 살아가는 게 두려워서였어. 자신의 인생에 확신도 각오도 서지 않는 내가 할 수 있는 건 아무것도 없다고 생각했어.",,,FALSE,,,,,,,,
Normal,재훈,"그래도 말이지, 이제는 방황하지 않아도 될 것 같아. 나를 지금도 숨 쉬게 하는 건, 컨테이너 박스에서 날 꺼낸 너와의 추억이라는 걸 알게 되었으니까, 이제는 내가 해야만 하는 게 뭔지 알 것 같아.",,,FALSE,,,,,,,,
Normal,재훈,"나를 믿어줘서 고맙다, 유한성. 이제는 내가 믿어볼게.",,,FALSE,,,,,,,,
Narration,,재훈의 뒤쪽에서 한 아이가 소리친다.,,,FALSE,,,,,,,,
Normal,아이,아저씨 밥 먹으러 오세요!,,,FALSE,,,,,,,,
Normal,재훈,밥?,,,FALSE,,,,,,,,
Normal,아이,여기 할아버지가 참치 주신대요! 엄청 커요!,,,FALSE,,,,,,,,
Narration,,아이는 자기 몸만한 참치를 힘겹게 들어올린다.,,,FALSE,,,,,,,,
Normal,재훈,무거워 내려놔!,,,FALSE,,,,,,,,
Normal,아이,으챳차차차!!!,,,FALSE,,,,,,,,
Normal,재훈,야!!,,,FALSE,,,,,,,,
Narration,,재훈은 아이에게로 달려간다.,,,TRUE,,,,,,,,
Narration,,[END],,,FALSE,,,,,,,,
Choice,,,,,,,[END],,TRUE,True,,,
