FileName,X,Y,Scale,Screen
OBJ_01_Cabinet,-449,-498,1,
OBJ_01_Camera,-520,-311,1,
OBJ_01_CellPhone,202,-264,1,
OBJ_01_Document2,-436,-362,1,
OBJ_01_Documents,-364,11,1,
OBJ_01_Drawer,551,-500,1,
OBJ_01_Notepad,-87,-303,1,
OBJ_02_BloodRock,0,0,1,
OBJ_02_Cliff,240,222,1,
OBJ_02_OldMan,389,-158,1,
OBJ_02_Rocks,-633,-176,1,
OBJ_02_Sea,-518,-136,1,
OBJ_02_Student,20,-400,1,
OBJ_03_CellPhone,193,-327,1,
OBJ_03_Child,647,-298,1,
OBJ_03_Documents,-389,-122,1,
OBJ_03_Frame,127,-156,1,
OBJ_03_PoliceMan,47,358,1,
OBJ_03_PoliceMansConversation,-484,347,1,
OBJ_03_Wallet,327,-316,1,
OBJ_04_Diarys,33,27,1,
OBJ_04_File,524,29,1,
OBJ_04_SDCard,300,-36,1,
OBJ_05_Elevator,418,-4,1,
OBJ_07_BookCase,-5,4,1,
OBJ_07_CEODesk,0,0,1,
OBJ_07_CEORoomDoor,0,0,1,
OBJ_07_Conductor,7,262,1,
OBJ_07_Curtain,0,0,1,
OBJ_07_Documents_F01L,0,0,1,
OBJ_07_Documents_F01R,0,0,1,
OBJ_07_Documents_F01R_Clue,0,0,1,
OBJ_07_Documents_F02L,0,0,1,
OBJ_07_Documents_F02R,0,0,1,
OBJ_07_Documents_F02R_Clue1,0,0,1,
OBJ_07_Documents_F02R_Clue2,0,0,1,
OBJ_07_File,0,0,1,
OBJ_07_File2,0,0,1,
OBJ_07_Manager,0,0,1,
OBJ_07_Officer1,-302,91,1,
OBJ_07_Officer2,582,-347,1,
OBJ_07_Officer3,-533,-327,1,
OBJ_07_Pictures,0,0,1,
OBJ_07_Receipt,0,0,1,
OBJ_07_ResourceRoomdoor,-473,36,1,
OBJ_07_Sofa,0,0,1,
OBJ_07_Trophy,0,0,1,
STD_040506_Child,28,-132,1,
STD_04_Child,356,138,1,
STD_04_Child_Stand,191,200,1,
STD_04_Teacher,-151,71,1,
STD_Past01_Hansung,-298,171,1,
STD_Past01_Jaehoon,351,-133,1,
STD_Past02_Hansung,187,-109,1,
STD_Past03_Hansung,58,42,1,
STD_Past04_Hansung,20,29,1,
STD_Past05_Hansung,-22,140,1,
STD_Past05_Hansung_Stand,11,-48,1,
OBJ_01_Document2,-436,-362,1,BG_01_ConductorDesk
OBJ_05_Elevator,418,-4,1,BG_05_BuildingSite_02
OBJ_01_Notepad,24,-312,1,BG_07_InvestigationSite_01
OBJ_07_Manager,136,-156,1,BG_07_InvestigationSite_03
OBJ_07_ResourceRoomdoor,-473,36,1,BG_07_InvestigationSite_04
OBJ_07_Documents_F01L,-436,-129,1,BG_07_InvestigationSite_05
OBJ_07_Documents_F01R,231,18,1,BG_07_InvestigationSite_05
OBJ_07_Documents_F01R_Clue,187,18,1,BG_07_InvestigationSite_05
OBJ_07_Documents_F02L,-513,127,1,BG_07_InvestigationSite_05
OBJ_07_Documents_F02R,213,249,1,BG_07_InvestigationSite_05
OBJ_07_Documents_F02R_Clue1,-73,247,1,BG_07_InvestigationSite_05
OBJ_07_Documents_F02R_Clue2,516,249,1,BG_07_InvestigationSite_05
OBJ_07_CEORoomDoor,598,42,1,BG_07_InvestigationSite_06
OBJ_07_BookCase,608,-27,1,BG_07_InvestigationSite_07
OBJ_07_CEODesk,62,29,1,BG_07_InvestigationSite_07
OBJ_07_Curtain,18,240,1,BG_07_InvestigationSite_07
OBJ_07_Sofa,24,-324,1,BG_07_InvestigationSite_07
OBJ_07_Trophy,-647,222,1,BG_07_InvestigationSite_07
OBJ_07_File,-4,-136,1,BG_07_InvestigationSite_08
OBJ_07_File2,18,-73,1,BG_07_InvestigationSite_08
OBJ_07_Pictures,-91,-247,1,BG_07_InvestigationSite_08
OBJ_07_Receipt,384,-229,1,BG_07_InvestigationSite_08
