InvestigationId,HotspotKey,Type,Sprite
BG_01_Office,Background,,BG_01_Office
BG_01_Office,Hotspot_STD_0107_Conductor_Angry1,Standing,STD_0107_Conductor_Angry1
BG_01_MyDesk,Background,,BG_01_MyDesk
BG_01_MyDesk,Hotspot_Notepad,Item,OBJ_01_Notepad
BG_01_MyDesk,Hotspot_Camera,Item,OBJ_01_Camera
BG_01_MyDesk,Hotspot_Drawer,Item,OBJ_01_Drawer
BG_01_MyDesk,Hotspot_Cabinet,Description,OBJ_01_Cabinet
BG_01_MyDesk,Hotspot_Documents,Description,OBJ_01_Documents
BG_01_MyDesk,Hotspot_CellPhone,Description,OBJ_01_CellPhone
BG_01_ConductorDesk,Background,,BG_01_ConductorDesk
BG_01_ConductorDesk,Hotspot_Document2,Description,OBJ_01_Document2
BG_02_CoastalRoad,Background,,BG_02_CoastalRoad
BG_02_CoastalRoad,Hotspot_Sea,Description,OBJ_02_Sea
BG_02_CoastalRoad,Hotspot_Rocks,Description,OBJ_02_Rocks
BG_02_CoastalRoad,Hotspot_Cliff,Description,OBJ_02_Cliff
BG_02_CoastalRoad,Hotspot_BloodRock,Description,OBJ_02_BloodRock
BG_02_CoastalRoad,Hotspot_OldMan,Talk,OBJ_02_OldMan
BG_02_CoastalRoad,Hotspot_Student,Talk,OBJ_02_Student
BG_03_Police,Background,,BG_03_Police
BG_03_Police,Hotspot_Child,Talk,OBJ_03_Child
BG_03_Police,Hotspot_PoliceMan,Talk,OBJ_03_PoliceMan
BG_03_Police,Hotspot_PoliceMansConversation,Talk,OBJ_03_PoliceMansConversation
BG_03_Police,Hotspot_Documents,Item,OBJ_03_Documents
BG_03_Police,Hotspot_CellPhone,Item,OBJ_03_CellPhone
BG_03_Police,Hotspot_Wallet,Item,OBJ_03_Wallet
BG_03_Police,Hotspot_Frame,Description,OBJ_03_Frame
BG_04_Home,Background,,BG_04_Home
BG_04_Home,Hotspot_STD_04_Teacher_Default,Standing,STD_04_Teacher_Default
BG_04_Room_01,Background,,BG_04_Room_01
BG_04_Room_02,Background,,BG_04_Room_02
BG_04_Room_03,Background,,BG_04_Room_03
BG_04_Room_03,Hotspot_STD_04_Child_Depressed,Standing,STD_04_Child_Depressed
BG_04_Room_04,Background,,BG_04_Room_04
BG_04_Room_04,Hotspot_STD_04_Child_Stand_Lookatyou,Standing,STD_04_Child_Stand_Lookatyou
BG_04_Room_05,Background,,BG_04_Room_05
BG_04_Room_06,Background,,BG_04_Room_06
BG_04_Room_06,Hotspot_Diarys,Description,OBJ_04_Diarys
BG_04_Room_06,Hotspot_File,Description,OBJ_04_File
BG_04_Room_06,Hotspot_SDCard,Description,OBJ_04_SDCard
BG_04_Room_07,Background,,BG_04_Room_07
BG_04_Room_07,Hotspot_STD_040506_Child_DefaultStand_Default,Standing,STD_040506_Child_DefaultStand_Default
BG_05_BuildingSite_01,Background,,BG_05_BuildingSite_01
BG_05_BuildingSite_01,Hotspot_STD_040506_Child_DefaultStand_Default,Standing,STD_040506_Child_DefaultStand_Default
BG_05_BuildingSite_02,Background,,BG_05_BuildingSite_02
BG_05_BuildingSite_02,Hotspot_Elevator,Description,OBJ_05_Elevator
BG_06_Room,Background,,BG_06_Room
BG_06_Room,Hotspot_STD_040506_Child_DefaultStand_Default,Standing,STD_040506_Child_DefaultStand_Default
BG_07_InvestigationSite_01,Background,,BG_07_InvestigationSite_01
BG_07_InvestigationSite_01,Hotspot_Cabinet,Description,OBJ_01_Cabinet
BG_07_InvestigationSite_01,Hotspot_Drawer,Description,OBJ_01_Drawer
BG_07_InvestigationSite_01,Hotspot_Documents,Description,OBJ_01_Documents
BG_07_InvestigationSite_01,NextScreen,,BG_07_InvestigationSite_02
BG_07_InvestigationSite_02,Background,,BG_07_InvestigationSite_02
BG_07_InvestigationSite_02,PrevScreen,,BG_07_InvestigationSite_01
BG_07_InvestigationSite_03,Background,,BG_07_InvestigationSite_03
BG_07_InvestigationSite_02,Hotspot_Officer1,Description,OBJ_07_Officer1
BG_07_InvestigationSite_02,Hotspot_Officer2,Description,OBJ_07_Officer2
BG_07_InvestigationSite_02,Hotspot_Officer3,Description,OBJ_07_Officer3
BG_07_InvestigationSite_02,Hotspot_Conductor,Description,OBJ_07_Conductor
BG_07_InvestigationSite_03,Background,,BG_07_InvestigationSite_03
BG_07_InvestigationSite_03,Hotspot_Manager,Description,OBJ_07_Manager
BG_07_InvestigationSite_04,Background,,BG_07_InvestigationSite_04
BG_07_InvestigationSite_04,Hotspot_ResourceRoomdoor,Description,OBJ_07_ResourceRoomdoor
BG_07_InvestigationSite_05,Background,,BG_07_InvestigationSite_05
BG_07_InvestigationSite_05,Hotspot_Documents_F01L,Description,OBJ_07_Documents_F01L
BG_07_InvestigationSite_05,Hotspot_Documents_F01R,Description,OBJ_07_Documents_F01R
BG_07_InvestigationSite_05,Hotspot_Documents_F01R_Clue,Description,OBJ_07_Documents_F01R_Clue
BG_07_InvestigationSite_05,Hotspot_Documents_F02L,Description,OBJ_07_Documents_F02L
BG_07_InvestigationSite_05,Hotspot_Documents_F02R,Description,OBJ_07_Documents_F02R
BG_07_InvestigationSite_05,Hotspot_Documents_F02R_Clue1,Description,OBJ_07_Documents_F02R_Clue1
BG_07_InvestigationSite_05,Hotspot_Documents_F02R_Clue2,Description,OBJ_07_Documents_F02R_Clue2
BG_07_InvestigationSite_06,Background,,BG_07_InvestigationSite_06
BG_07_InvestigationSite_06,Hotspot_CEORoomDoor,Description,OBJ_07_CEORoomDoor
BG_07_InvestigationSite_07,Background,,BG_07_InvestigationSite_07
BG_07_InvestigationSite_07,Hotspot_Curtain,Description,OBJ_07_Curtain
BG_07_InvestigationSite_07,Hotspot_CEODesk,Description,OBJ_07_CEODesk
BG_07_InvestigationSite_07,Hotspot_BookCase,Description,OBJ_07_BookCase
BG_07_InvestigationSite_07,Hotspot_Trophy,Description,OBJ_07_Trophy
BG_07_InvestigationSite_07,Hotspot_Sofa,Description,OBJ_07_Sofa
BG_07_InvestigationSite_08,Background,,BG_07_InvestigationSite_08
BG_07_InvestigationSite_08,Hotspot_File,Description,OBJ_07_File
BG_07_InvestigationSite_08,Hotspot_File2,Description,OBJ_07_File2
BG_07_InvestigationSite_08,Hotspot_Pictures,Description,OBJ_07_Pictures
BG_07_InvestigationSite_08,Hotspot_Receipt,Description,OBJ_07_Receipt
BG_Past01_Home,Background,,BG_Past01_Home
BG_Past01_Home,Hotspot_STD_Past01_Jaehoon_CloseEyes,Standing,STD_Past01_Jaehoon_CloseEyes
BG_Past01_Home,Hotspot_STD_Past01_Hansung_Default,Standing,STD_Past01_Hansung_Default
BG_Past02_Bus_01,Background,,BG_Past02_Bus_01
BG_Past02_Bus_01,Hotspot_STD_Past02_Hansung_Default,Standing,STD_Past02_Hansung_Default
BG_Past02_Bus_02,Background,,BG_Past02_Bus_02
BG_Past02_Mom,Background,,BG_Past02_Mom
BG_Past03_Family,Background,,BG_Past03_Family
BG_Past03_Friend,Background,,BG_Past03_Friend
BG_Past03_Home,Background,,BG_Past03_Home
BG_Past03_Home,Hotspot_Cabinet,Description,OBJ_01_Cabinet
BG_Past03_Home,Hotspot_Camera,Description,OBJ_01_Camera
BG_Past03_Home,Hotspot_CellPhone,Description,OBJ_01_CellPhone
BG_Past03_Home,Hotspot_Documents,Description,OBJ_01_Documents
BG_Past03_Home,Hotspot_Notepad,Description,OBJ_01_Notepad
BG_Past03_Home,Hotspot_Drawer,Description,OBJ_01_Drawer
BG_Past04_Room,Background,,BG_Past04_Room
BG_Past04_Room,Hotspot_STD_Past04_Hansung_Angry,Standing,STD_Past04_Hansung_Angry
BG_Past05_Dinner,Background,,BG_Past05_Dinner
BG_Past05_Dinner,Hotspot_STD_Past05_Hansung_Angry,Standing,STD_Past05_Hansung_Angry
BG_Past05_Loby,Background,,BG_Past05_Loby
BG_Past05_Loby,Hotspot_STD_Past05_Hansung_Stand_Default,Standing,STD_Past05_Hansung_Stand_Default
