SceneId,Background,Props
S_Past01_Home_A,BG_Past01_Home,
S_01_Office_A,BG_01_Office,
S_01_ConductorDesk_A,BG_01_ConductorDesk,
S_01_ConductorDesk_B,BG_01_ConductorDesk,OBJ_01_Document2
S_Past02_Bus_01_A,BG_Past02_Bus_01,
S_Past02_Mom_A,BG_Past02_Mom,
S_Past02_Bus_02_A,BG_Past02_Bus_02,
S_Past03_Home_A,BG_Past03_Home,
S_Past03_Family_A,BG_Past03_Family,
S_Past03_Friend_A,BG_Past03_Friend,
S_04_Home_A,BG_04_Home,
S_04_Room_01_A,BG_04_Room_01,
S_04_Room_02_A,BG_04_Room_02,
S_04_Room_03_A,BG_04_Room_03,
S_04_Room_04_A,BG_04_Room_04,
S_Past04_Room_A,BG_Past04_Room,
S_04_Room_05_A,BG_04_Room_05,
S_04_Room_07_A,BG_04_Room_07,
S_Past05_Loby_A,BG_Past05_Loby,
S_Past05_Dinner_A,BG_Past05_Dinner,
S_05_BuildingSite_01_A,BG_05_BuildingSite_01,
S_05_BuildingSite_02_A,BG_05_BuildingSite_02,
S_05_BuildingSite_02_B,BG_05_BuildingSite_02,OBJ_05_Elevator
S_06_Room_A,BG_06_Room,
S_07_InvestigationSite_03_A,BG_07_InvestigationSite_03,
S_07_InvestigationSite_04_A,BG_07_InvestigationSite_04,OBJ_07_ResourceRoomdoor
S_07_InvestigationSite_05_A,BG_07_InvestigationSite_05,
S_07_InvestigationSite_06_A,BG_07_InvestigationSite_06,OBJ_07_CEORoomDoor
S_07_InvestigationSite_07_A,BG_07_InvestigationSite_07,OBJ_07_Trophy|OBJ_07_Curtain|OBJ_07_CEODesk|OBJ_07_BookCase|OBJ_07_Sofa
S_07_InvestigationSite_08_A,BG_07_InvestigationSite_08,OBJ_07_Receipt|OBJ_07_Pictures|OBJ_07_File|OBJ_07_File2
S_02_CoastalRoad_A,BG_02_CoastalRoad,
S_01_MyDesk_A,BG_01_MyDesk,
S_07_InvestigationSite_07_B,BG_07_InvestigationSite_07,
S_Past01_Scene1,BG_Past01_Scene1,
S_Past01_Scene2,BG_Past01_Scene2,
S_Past01_Scene3,BG_Past01_Scene3,
S_Past01_Scene4,BG_Past01_Scene4,
S_Past01_Scene5,BG_Past01_Scene5,
S_Past01_Scene6,BG_Past01_Scene6,
S_Past01_Scene7,BG_Past01_Scene7,
S_Past01_Scene8,BG_Past01_Scene8,
S_Past01_Scene9,BG_Past01_Scene9,
S_Past01_Scene10,BG_Past01_Scene10,
S_Past01_Scene11,BG_Past01_Scene11,
S_Past01_Scene12,BG_Past01_Scene12,
S_Past01_Scene13,BG_Past01_Scene13,
S_Past01_Scene14,BG_Past01_Scene14,
S_03_Police_A,BG_03_Police,
S_04_Room_06_A,BG_04_Room_06,
S_07_InvestigationSite_01_A,BG_07_InvestigationSite_01,
S_07_InvestigationSite_02_A,BG_07_InvestigationSite_02,
S_07_Safe_A,BG_07_Safe,
S_07_Wall_A,BG_07_Wall,
S_BadA_Scene1,BG_BadA_Scene1,
S_BadA_Scene2,BG_BadA_Scene2,
S_BadA_Scene3,BG_BadA_Scene3,
S_BadA_Scene4,BG_BadA_Scene4,
S_BadB_Scene1,BG_BadB_Scene1,
S_BadB_Scene2,BG_BadB_Scene2,
S_BadB_Scene3,BG_BadB_Scene3,
S_BadB_Scene4,BG_BadB_Scene4,
S_BadB_Scene5,BG_BadB_Scene5,
S_BadB_Scene6,BG_BadB_Scene6,
S_BadC_Scene1,BG_BadC_Scene1,
S_BadC_Scene2,BG_BadC_Scene2,
S_BadC_Scene3,BG_BadC_Scene3,
S_BadC_Scene4,BG_BadC_Scene4,
S_BadD_Scene1,BG_BadD_Scene1,
S_BadD_Scene2,BG_BadD_Scene2,
S_BadD_Scene3,BG_BadD_Scene3,
S_BadE_Scene1,BG_BadE_Scene1,
S_BadE_Scene2,BG_BadE_Scene2,
S_BadE_Scene3,BG_BadE_Scene3,
S_BadE_Scene4,BG_BadE_Scene4,
S_True_Scene1,BG_True_Scene1,
S_True_Scene2,BG_True_Scene2,
S_True_Scene3,BG_True_Scene3,
S_True_Scene4,BG_True_Scene4,
S_True_Scene5,BG_True_Scene5,
S_True_Scene6,BG_True_Scene6,
